f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
C,P,F,F,L,M,M,C,K,M,C,N,M,L,P,M
C,P,M,F,C,M,M,F,M,C,C,L,K,M,H,N
I,I,B,K,K,M,F,C,C,M,C,F,I,F,I,M
M,N,L,F,N,M,F,C,B,M,C,F,F,P,L,N
C,L,F,M,P,F,M,B,I,C,H,L,F,M,L,A
I,N,H,F,I,B,I,H,F,D,E,C,E,C,D,H
B,K,C,B,B,F,N,I,K,C,L,F,F,O,D,M
D,D,K,D,D,P,C,K,C,O,B,F,E,M,D,M
I,M,B,B,D,M,M,B,B,M,C,F,I,F,B,F
B,B,H,C,K,M,H,M,F,C,H,N,D,F,C,N
K,I,B,D,K,M,M,B,L,M,C,F,K,F,C,M
B,F,C,C,B,F,F,K,H,A,H,H,D,P,I,L
B,K,H,B,B,M,M,H,C,M,C,C,K,F,M,P
B,C,H,H,H,H,C,I,H,M,C,N,B,P,C,P
D,M,E,B,E,M,M,B,B,M,C,F,E,F,E,F
H,L,M,M,C,F,F,B,M,P,H,C,K,F,C,P
I,B,H,I,K,P,K,K,K,L,K,L,K,C,K,F
C,M,C,H,B,H,L,D,F,L,L,H,K,L,B,B
B,F,C,C,I,H,L,I,B,P,L,L,H,F,D,M
B,N,C,F,I,M,N,I,H,F,O,F,I,P,D,F
D,E,D,E,E,I,N,B,K,N,F,C,E,F,K,F
I,I,I,H,K,H,M,P,M,M,C,H,I,F,I,F
C,N,C,F,B,C,M,M,C,L,F,N,I,M,C,F
K,B,B,I,K,F,M,B,C,P,H,C,K,F,I,F
K,I,B,K,D,M,M,K,L,N,C,F,D,F,H,M
K,I,I,K,K,F,M,M,B,L,C,L,K,F,I,F
F,O,M,C,B,O,I,I,M,N,K,L,I,F,H,J
I,I,B,K,I,F,C,M,B,M,M,F,M,H,D,F
I,L,B,M,I,H,F,L,F,L,F,N,K,P,B,P
B,P,C,F,F,F,M,C,C,C,C,C,I,L,C,P
C,F,F,M,L,M,L,C,K,M,M,F,M,N,M,M
K,C,I,B,K,M,M,E,F,A,C,F,E,F,D,F
K,I,K,B,D,I,F,C,P,M,H,G,E,F,C,F
H,H,C,F,I,F,F,C,L,H,C,M,E,F,L,M
F,P,F,F,I,B,O,H,H,O,O,M,I,L,K,F
B,B,B,H,K,I,M,F,K,M,H,N,B,F,K,N
D,E,K,E,D,M,F,I,E,M,F,F,H,P,E,F
B,F,C,C,H,L,P,C,H,M,H,F,I,L,P,M
K,B,I,H,D,M,J,E,C,M,N,F,E,F,E,F
B,L,B,M,I,F,M,F,M,F,C,F,K,L,L,F
H,P,H,F,B,M,F,L,M,M,H,C,K,F,L,P
H,L,C,M,B,M,C,M,F,N,C,N,K,N,B,L
B,L,C,M,K,M,O,D,I,M,N,F,E,P,E,F
I,B,I,C,K,I,J,F,K,O,M,I,E,P,B,F
B,P,C,F,B,H,C,K,C,M,M,O,E,L,B,L
C,F,L,C,H,H,F,B,M,P,P,P,H,P,B,C
H,P,C,L,H,F,F,F,H,H,F,P,B,M,C,F
I,F,H,C,D,C,L,I,D,F,A,F,K,N,E,F
I,H,B,F,M,F,M,H,E,C,C,L,M,P,C,O
F,G,F,L,H,F,L,B,B,O,H,I,H,P,C,C
I,P,B,M,D,E,D,H,C,E,E,M,E,F,E,F
H,M,C,H,B,C,P,D,F,N,L,H,D,P,I,B
K,I,B,K,K,C,F,K,C,P,C,L,I,F,K,F
K,H,I,B,K,H,P,B,H,P,L,H,K,P,I,C
H,L,M,M,C,H,M,D,C,L,F,P,I,F,I,F
B,N,C,F,B,H,I,I,L,C,D,F,D,C,I,C
I,M,B,H,I,M,C,I,H,C,C,L,K,L,F,F
C,L,L,M,M,M,O,K,K,M,F,F,M,O,D,F
I,H,H,I,K,F,F,K,H,P,B,C,H,F,D,M
H,L,M,M,C,M,M,C,C,C,H,M,B,F,C,P
L,G,L,F,C,K,L,I,C,L,L,O,B,M,I,C
B,B,H,C,B,C,M,L,M,M,C,M,K,F,L,L
I,H,B,B,I,H,P,B,B,P,F,B,D,P,I,M
H,P,C,F,B,M,M,E,F,A,C,F,E,F,D,F
N,N,P,C,B,C,N,K,I,M,P,C,F,O,D,M
I,H,B,F,D,E,D,H,C,E,E,M,E,F,E,F
H,N,C,F,C,C,M,M,C,M,C,N,I,F,I,L
B,L,C,M,I,C,F,D,F,P,L,F,I,F,B,M
B,M,C,C,B,F,H,I,B,F,I,M,I,M,H,L
I,B,H,K,K,F,P,B,I,N,B,I,D,P,K,F
I,B,H,C,C,L,M,H,I,M,M,M,C,L,C,B
I,H,B,B,I,B,N,I,C,N,L,C,D,P,I,C
K,I,K,K,D,C,F,H,B,F,M,M,B,F,D,C
K,F,B,C,K,O,K,B,I,N,K,P,I,C,I,L
H,L,H,C,B,F,H,O,B,M,O,F,I,L,E,F
K,B,I,I,K,L,M,D,M,N,H,F,K,F,B,P
H,C,M,B,H,C,M,D,C,P,M,P,I,F,I,F
B,B,H,C,K,M,B,J,H,M,J,F,I,L,E,F
M,O,M,M,B,N,C,B,C,N,K,C,H,F,B,P
K,I,B,B,D,M,F,B,K,M,A,F,I,P,E,F
K,I,B,K,K,F,M,I,H,P,H,M,K,F,B,L
K,F,I,C,D,L,M,E,F,J,H,F,E,F,D,F
C,P,L,M,C,M,F,F,C,H,C,A,H,F,B,M
I,H,H,B,K,M,P,B,B,A,H,K,D,P,K,F
O,G,L,F,H,L,C,C,H,P,K,F,M,C,C,N
B,N,C,L,I,I,B,K,P,K,E,F,E,M,D,H
M,N,P,F,L,L,M,I,C,P,B,M,H,C,B,L
C,C,M,B,B,C,N,B,K,F,M,C,L,O,K,H
H,M,C,C,M,M,F,H,B,M,M,P,M,P,L,P
I,D,I,K,D,M,F,B,D,M,F,F,M,P,E,F
K,I,I,D,D,N,K,I,D,L,K,L,D,C,K,F
C,N,C,F,I,K,O,H,B,N,O,F,I,L,D,F
C,L,L,M,H,F,H,M,M,F,C,M,K,C,B,C
B,B,H,I,K,H,F,H,F,P,L,L,I,L,K,C
H,N,C,F,B,I,F,C,C,O,P,A,K,L,I,M
K,D,K,K,K,M,M,H,H,C,H,M,K,M,B,F
I,B,B,I,I,M,M,M,M,C,C,H,K,F,I,M
B,C,C,B,H,F,M,M,I,F,H,M,B,M,M,P
I,I,H,K,K,H,P,I,B,P,F,M,H,F,D,F
K,K,B,B,K,C,P,D,M,F,N,F,D,N,K,M
K,M,B,H,D,L,J,D,C,H,N,L,E,F,E,F
H,N,C,F,B,C,F,B,F,N,M,M,K,L,H,C
H,P,M,F,C,C,M,F,M,M,M,H,B,M,B,L
I,H,H,B,I,F,L,I,B,O,B,B,K,F,I,F
B,C,H,B,I,F,L,H,C,F,H,F,I,M,H,P
I,K,H,B,I,F,M,F,H,M,C,F,K,F,I,F
M,O,C,M,I,P,B,B,B,P,I,C,B,M,H,L
D,I,I,K,K,F,C,K,H,P,H,M,K,F,I,L
C,L,F,M,N,M,C,B,K,F,H,F,I,F,A,B
I,M,B,H,I,M,C,N,D,F,L,F,M,C,E,F
I,H,B,B,I,C,F,B,H,C,C,L,K,F,M,L
I,K,H,B,I,M,C,C,C,C,C,P,K,L,B,L
K,C,I,B,K,M,M,E,C,A,C,F,E,F,D,F
M,L,F,B,I,P,C,I,B,A,I,M,C,F,E,F
I,N,B,F,K,E,N,B,C,N,N,L,E,F,K,C
M,G,M,F,C,P,C,B,H,P,B,M,M,C,F,L
I,M,B,H,I,L,H,M,H,P,B,L,I,F,I,F
M,P,P,M,C,B,L,I,B,P,P,L,F,M,K,M
D,I,I,K,D,M,L,K,B,A,C,C,D,L,D,F
B,I,B,B,K,M,M,O,D,M,L,F,F,C,E,F
C,N,L,F,M,L,M,I,C,P,H,F,I,F,I,F
K,H,I,I,K,C,M,C,C,C,C,N,K,L,B,L
H,K,C,B,B,F,C,C,B,M,M,F,F,C,K,M
C,P,F,F,F,M,M,F,B,M,C,F,B,F,N,K
K,K,I,I,K,M,M,H,H,C,C,C,K,F,C,P
D,H,D,B,D,M,M,D,M,M,C,F,E,F,K,F
I,B,B,C,K,I,C,C,N,M,M,G,E,F,M,M
I,B,B,H,K,B,A,F,K,N,C,I,D,P,B,F
I,C,H,B,K,M,O,I,B,F,O,F,I,P,D,F
B,P,B,F,B,C,C,P,M,C,C,M,K,F,L,P
K,N,E,F,K,M,M,H,I,M,C,F,E,F,E,F
I,N,B,F,D,C,J,E,C,F,N,F,E,F,E,F
C,M,H,N,B,M,M,H,I,N,M,M,I,L,N,C
D,E,K,E,E,M,F,I,E,M,F,F,H,L,E,F
I,H,B,I,K,C,M,H,H,L,M,P,K,L,B,L
H,L,M,M,C,P,C,D,C,P,I,F,B,L,B,N
H,P,M,F,C,C,C,C,B,M,C,L,H,F,M,P
P,G,L,F,C,F,L,B,B,O,B,I,H,P,C,C
B,H,B,B,I,F,F,M,H,M,C,M,K,L,L,F
I,D,H,I,K,F,K,K,K,M,D,F,K,M,K,M
H,P,I,H,K,M,F,M,H,N,C,L,K,L,H,L
D,D,K,D,D,M,F,N,D,M,H,F,I,F,E,F
C,M,F,F,M,L,F,H,H,M,H,L,I,F,L,M
B,M,H,H,I,B,O,K,H,A,M,H,D,P,D,M
K,K,K,K,D,M,F,B,K,F,M,L,K,L,I,L
H,C,M,B,I,L,F,B,C,O,B,H,K,L,B,L
B,M,C,H,C,F,H,M,B,F,C,F,H,L,M,B
B,P,C,M,C,C,M,H,H,M,H,F,C,C,C,N
K,B,B,I,K,L,C,B,C,P,B,H,K,F,I,F
C,N,M,F,C,M,M,A,D,C,C,F,C,F,E,F
B,H,C,M,D,M,P,K,K,M,A,F,K,N,E,F
B,L,C,C,H,M,M,C,L,M,C,P,I,F,C,F
I,M,H,H,H,H,F,B,I,L,P,P,H,F,B,H
P,G,F,F,H,M,M,H,H,L,H,L,M,H,M,N
B,P,C,F,C,L,M,I,H,P,B,C,K,F,H,L
K,M,I,H,K,C,F,H,P,C,M,L,D,L,F,F
D,H,E,M,E,M,M,B,B,M,C,F,E,F,E,F
B,L,C,M,I,L,F,B,D,M,F,F,F,L,E,F
I,I,B,B,I,M,M,C,H,M,C,C,K,F,C,P
B,H,H,B,I,F,M,H,C,C,H,C,I,M,C,L
L,L,M,A,H,M,N,K,I,L,P,H,B,P,C,F
K,F,I,C,D,M,M,E,F,J,C,L,E,F,D,F
I,F,I,H,D,D,A,H,B,O,P,M,E,F,K,C
B,M,H,H,I,M,B,D,F,F,K,P,E,C,K,F
B,M,C,H,I,H,N,I,H,A,F,H,D,P,K,M
B,N,H,F,I,B,O,L,K,P,C,B,D,P,B,F
I,M,B,H,K,F,L,I,D,C,O,F,K,P,E,F
H,F,M,M,M,M,F,I,I,M,H,M,C,F,C,C
C,P,C,C,I,N,I,B,H,O,K,F,H,M,B,P
K,K,I,B,K,M,M,F,B,M,C,F,K,F,I,F
H,F,M,C,H,F,L,H,B,N,B,B,K,P,I,F
I,B,H,I,K,M,L,I,H,P,M,M,H,F,D,F
I,C,B,B,B,C,M,C,I,C,H,M,K,F,C,C
I,M,B,H,K,M,M,B,B,M,C,F,K,F,B,F
B,P,H,H,B,L,H,H,K,P,C,N,C,H,H,P
K,D,I,I,K,M,F,H,B,M,C,M,B,F,D,M
M,O,M,C,B,L,F,B,H,F,F,H,C,P,I,C
M,P,H,F,B,F,P,I,I,A,B,H,K,L,M,L
I,C,B,B,B,M,F,B,C,F,F,C,H,L,I,M
F,P,F,M,H,K,N,K,M,O,O,M,E,P,D,H
K,C,I,B,K,B,N,H,H,N,P,C,K,P,K,C
C,C,H,L,B,M,M,B,I,C,N,C,B,N,C,C
H,F,F,C,M,M,L,D,B,P,C,C,H,N,I,H
M,G,C,F,I,C,L,I,F,A,C,C,K,F,H,B
B,H,M,B,C,H,L,B,I,C,B,L,F,H,M,L
B,L,I,B,K,F,C,H,K,L,C,F,I,P,M,M
B,F,C,C,H,M,C,F,C,H,H,B,B,F,B,F
K,D,K,D,D,H,N,F,K,L,C,B,D,L,I,F
B,H,C,I,I,M,M,D,L,P,C,F,K,F,I,M
B,L,B,M,H,C,L,F,I,M,B,F,K,M,H,N
H,P,M,F,C,L,M,K,M,N,H,F,I,F,H,P
K,D,I,K,D,M,M,A,D,H,C,F,H,F,E,F
K,C,I,B,K,M,M,B,B,M,C,M,K,F,B,F
D,H,D,B,D,M,M,D,M,M,C,L,E,F,I,F
B,M,C,N,L,F,L,I,K,C,F,L,C,A,P,C
I,L,B,C,D,M,M,B,B,M,C,F,I,F,B,F
K,C,I,B,I,M,M,B,M,M,H,F,I,F,H,P
M,P,M,M,B,B,P,M,F,O,P,L,K,P,I,C
H,P,M,F,F,M,L,C,B,F,F,M,P,L,B,P
I,L,B,M,K,I,F,C,P,M,C,G,E,F,M,M
B,P,H,L,I,F,C,L,M,H,H,F,I,F,B,F
B,K,C,I,B,F,C,C,H,C,M,F,F,M,I,C
I,H,B,B,K,C,M,C,C,P,M,P,K,L,B,P
F,A,M,M,I,C,K,I,B,C,K,C,I,M,C,M
H,B,C,I,I,H,N,I,K,L,F,M,M,O,D,C
M,A,H,M,B,C,C,C,I,P,M,L,H,L,H,F
K,B,B,I,K,F,M,B,H,F,H,M,K,M,B,N
K,B,B,I,K,C,P,I,B,O,H,I,D,P,K,F
I,L,H,C,B,F,N,K,M,C,N,M,K,O,D,M
K,I,B,D,K,L,C,B,C,P,B,C,K,F,I,F
I,F,B,H,D,M,M,B,B,M,C,F,I,F,B,F
B,H,C,I,I,F,F,I,C,P,C,F,I,F,I,F
I,C,I,B,D,D,E,C,C,E,D,H,E,F,E,F
K,D,I,K,K,C,M,B,M,M,C,P,I,F,H,L
C,L,C,C,B,H,L,D,M,F,L,H,K,N,I,B
B,P,C,F,C,M,C,C,H,M,M,L,F,H,K,F
C,N,M,F,M,L,F,H,F,H,H,C,D,C,P,C
B,C,B,B,K,H,O,B,H,N,L,B,K,N,D,H
B,K,H,I,B,M,M,C,C,M,C,F,I,F,I,L
K,F,I,C,D,A,I,F,B,A,I,N,D,C,E,F
D,E,K,E,E,M,M,I,B,M,C,F,I,F,B,F
D,D,I,K,D,M,K,K,D,M,K,F,D,C,K,M
I,M,H,H,I,M,O,I,M,F,N,M,K,N,D,M
B,M,H,H,B,F,L,C,C,F,H,F,I,M,C,N
H,M,C,C,C,F,C,H,B,M,H,F,M,L,C,I
I,M,H,B,D,M,P,K,K,C,A,F,D,N,E,F
E,E,D,E,E,O,B,C,I,O,H,N,E,M,E,F
B,M,B,H,I,I,M,H,P,M,C,J,E,F,C,F
H,L,M,C,C,C,F,H,C,M,H,F,I,M,H,L
K,M,I,H,I,F,M,M,H,M,H,M,K,F,F,M
C,N,C,F,B,B,F,H,C,O,P,N,K,P,I,M
B,P,H,F,H,M,C,F,C,M,F,P,K,P,F,M
B,P,C,M,K,F,G,D,C,M,N,F,E,F,E,F
F,N,L,L,C,H,F,I,C,P,F,F,I,F,H,H
B,H,C,H,B,F,L,B,C,M,M,F,I,F,F,F
B,P,M,M,K,L,F,H,I,H,J,F,I,L,E,F
H,P,H,F,B,C,F,P,M,M,H,M,K,F,L,P
I,F,H,C,I,M,C,M,C,C,H,P,D,F,H,N
K,I,B,K,D,H,P,I,I,P,F,F,B,F,E,F
C,L,C,C,I,K,N,B,C,A,O,C,D,N,K,H
M,N,L,L,O,F,M,B,I,C,H,L,F,M,L,J
D,E,K,E,D,C,L,M,I,M,H,F,K,M,B,P
K,I,I,K,D,M,M,I,F,C,C,F,K,F,H,F
H,P,C,F,B,M,M,O,K,M,L,F,L,C,E,F
C,N,F,F,C,L,F,K,C,O,B,C,H,F,B,L
H,F,C,C,K,M,B,A,C,F,G,F,I,L,E,F
B,H,M,I,B,M,C,I,B,L,M,F,M,H,K,F
D,F,E,C,D,M,M,H,I,M,C,F,E,F,E,F
H,M,C,L,C,L,M,M,K,H,M,P,I,F,C,P
C,P,C,M,C,I,N,K,K,P,L,F,C,N,K,M
I,H,C,B,I,M,P,B,B,O,H,I,D,P,I,F
I,H,B,B,I,M,F,H,H,M,M,C,H,L,K,C
B,M,C,H,K,C,N,K,C,A,M,B,D,P,K,M
B,P,B,M,I,M,M,J,K,B,C,F,C,F,E,F
B,M,C,H,C,L,C,B,H,M,H,C,M,N,C,H
H,P,B,H,I,C,M,C,I,L,M,L,H,P,H,F
B,C,H,B,C,F,H,B,I,M,C,P,C,F,B,P
K,D,I,K,D,M,O,I,C,M,N,F,K,N,D,F
I,H,B,I,K,C,F,M,F,F,F,A,D,L,B,P
K,H,B,I,I,L,M,H,C,L,H,H,K,F,I,F
B,H,H,B,B,C,F,B,B,F,M,P,B,P,F,N
I,H,B,B,I,C,M,H,B,L,F,L,I,M,H,P
B,F,B,C,I,D,N,B,C,N,P,L,E,F,K,M
H,F,H,C,I,I,P,H,C,A,O,L,I,L,D,M
B,H,H,B,K,B,F,H,M,P,L,L,I,L,K,H
C,L,L,F,N,P,M,H,H,M,H,F,P,N,L,B
I,C,B,B,B,F,M,M,I,F,H,M,B,M,M,F
F,P,M,C,H,C,O,I,B,N,C,I,B,P,M,C
D,E,D,E,E,I,N,B,I,N,L,M,E,F,K,F
F,J,L,F,H,M,M,K,B,O,B,F,C,F,E,M
I,B,B,C,I,C,C,L,M,C,M,M,K,F,L,P
H,C,C,F,F,L,M,C,I,M,F,F,M,P,C,H
C,L,F,M,C,F,B,L,H,M,B,F,I,F,B,F
B,P,C,M,C,F,F,H,H,L,H,M,B,M,H,P
H,O,C,F,K,D,A,H,B,O,P,M,E,F,I,C
K,D,K,K,D,C,P,H,H,P,L,H,D,L,I,C
B,F,C,C,B,M,F,I,M,P,B,M,K,M,B,F
C,L,M,N,M,M,P,H,I,C,L,O,I,L,M,F
H,N,C,F,H,H,M,C,H,F,M,O,B,M,H,F
I,C,B,B,B,L,C,I,H,P,B,M,K,F,B,P
B,L,C,M,D,F,F,H,I,C,J,F,I,L,E,F
K,H,B,B,K,M,K,K,K,C,K,F,K,M,K,M
C,N,M,F,H,H,F,M,C,F,F,G,B,L,C,C
B,K,H,B,I,C,P,K,I,M,L,F,M,N,E,F
B,P,C,F,B,F,C,L,H,M,H,F,I,F,I,F
I,B,B,H,I,M,F,H,K,M,L,P,I,L,B,L
H,C,M,H,C,M,M,K,B,M,I,L,C,B,F,P
I,C,B,B,K,M,C,J,D,M,M,F,I,F,E,F
I,H,B,B,I,F,H,H,H,M,M,M,B,L,C,P
K,B,I,I,K,H,F,H,C,P,L,L,I,L,K,C
B,C,H,H,B,F,H,H,C,C,M,F,I,F,C,L
B,B,C,M,D,F,F,B,I,M,J,F,I,L,E,F
B,F,C,C,I,L,K,K,K,M,D,F,K,M,I,M
I,C,H,B,I,H,C,C,M,M,M,O,I,F,H,N
B,L,C,M,B,L,B,D,M,L,K,P,I,C,B,L
F,N,N,F,H,M,F,I,H,P,C,M,M,L,K,M
H,M,F,H,C,L,M,I,M,P,I,M,H,F,B,L
D,I,K,K,D,C,F,C,M,M,F,O,D,L,B,P
H,L,C,C,B,M,M,F,C,C,C,N,B,F,B,L
D,D,K,D,E,M,B,K,E,M,K,F,K,M,D,F
I,P,H,F,B,N,I,K,K,L,K,L,I,H,I,F
B,L,C,M,H,M,M,L,B,F,M,B,B,F,B,F
C,L,C,B,I,M,I,H,K,C,H,B,B,F,H,M
K,I,I,K,D,C,P,D,C,F,N,F,D,N,K,F
I,M,B,H,I,B,P,I,H,P,P,C,D,P,I,C
C,P,M,F,B,F,M,A,K,C,L,F,L,C,E,F
D,I,K,K,D,C,P,K,B,A,M,C,D,L,D,F
D,E,K,D,E,F,L,I,K,M,O,F,K,P,E,F
E,E,D,E,E,O,B,B,I,N,B,N,E,M,E,F
H,L,M,M,I,F,F,B,K,M,F,F,F,L,E,F
H,M,M,F,M,M,F,B,C,M,C,C,B,L,L,L
H,P,F,F,C,O,C,K,B,L,I,C,F,C,K,F
H,L,C,C,I,H,P,P,H,F,H,H,K,P,B,F
K,H,B,I,K,M,M,D,F,P,C,L,K,F,B,F
I,F,B,C,I,M,F,I,O,F,C,F,E,F,M,M
B,L,C,F,I,L,F,F,C,H,F,L,I,F,H,L
I,C,B,B,B,F,M,C,I,M,C,P,I,F,M,L
I,H,H,B,I,M,F,H,M,M,C,F,C,F,I,F
K,I,I,B,K,M,F,F,M,H,M,L,K,M,H,N
I,H,H,F,C,M,N,I,I,M,F,L,I,N,M,H
B,C,B,B,I,M,C,C,H,L,C,A,K,F,B,P
H,L,M,C,C,F,F,F,H,C,M,L,I,F,B,H
B,C,H,C,H,M,F,H,B,C,M,N,C,L,L,N
H,P,C,F,I,M,M,B,G,L,C,F,E,F,F,F
M,L,M,C,H,B,F,H,F,L,C,L,M,L,C,K
D,E,K,D,E,M,M,K,P,F,C,F,E,F,C,F
I,M,H,H,H,M,M,B,K,F,F,F,H,P,B,F
C,N,F,F,C,C,A,C,I,O,C,K,D,N,I,F
M,P,C,C,B,F,H,H,H,N,B,M,H,C,C,P
B,L,H,M,H,F,M,H,L,M,H,M,D,M,M,F
B,P,H,F,K,M,C,E,L,J,C,L,E,F,D,F
H,P,C,F,L,M,F,H,D,M,C,M,N,N,L,O
I,H,B,C,B,L,P,C,K,B,M,N,K,L,H,P
I,C,H,B,H,L,M,B,I,C,M,M,H,P,M,M
H,C,M,M,C,M,F,B,H,M,M,F,B,C,F,C
B,K,H,B,I,M,M,M,M,C,C,H,K,F,I,M
I,I,B,H,B,F,M,M,I,C,H,L,I,F,H,L
I,M,B,H,I,C,C,H,H,C,C,P,K,L,B,F
B,F,B,C,K,B,F,C,M,N,P,O,K,L,I,M
B,M,H,H,K,H,M,P,L,M,M,C,I,F,B,F
K,I,B,K,D,C,P,I,H,A,M,H,D,L,D,M
I,C,B,B,B,F,H,P,E,C,F,F,C,H,E,M
C,L,F,F,F,M,C,H,M,M,H,L,C,H,L,B
B,L,H,M,H,L,M,I,H,L,I,F,I,C,I,N
B,C,C,H,B,C,C,H,H,F,B,F,I,M,H,C
C,P,C,M,B,C,F,M,F,A,F,P,K,N,I,M
K,H,B,I,D,L,C,I,C,J,H,P,D,C,D,M
K,B,I,H,K,F,F,C,K,M,F,P,K,L,H,L
B,N,H,F,I,C,F,L,F,P,F,N,K,O,B,L
M,N,P,L,G,F,F,C,K,M,M,F,J,P,H,F
H,P,M,M,H,C,L,C,H,M,M,F,C,L,K,C
I,I,B,B,K,B,A,F,D,N,C,I,D,P,B,F
K,D,K,K,D,C,M,B,F,M,C,N,I,F,H,L
K,E,K,D,D,F,H,N,B,C,A,F,I,P,E,F
C,N,C,C,I,H,P,B,I,P,F,H,B,N,K,F
I,H,B,B,I,M,M,H,P,C,C,F,K,F,M,F
K,I,I,K,K,L,C,B,H,L,B,M,K,M,B,P
I,F,B,C,K,H,F,M,F,M,F,J,D,F,B,P
B,I,H,H,I,F,F,B,D,C,F,F,F,L,E,F
I,H,H,I,B,L,M,I,C,P,H,C,K,F,H,P
B,M,C,H,B,F,F,K,C,A,H,H,K,P,I,L
M,O,F,C,H,N,C,I,H,P,B,C,H,L,B,F
D,D,K,K,D,M,M,C,B,M,C,F,K,F,K,F
K,D,I,K,K,M,F,C,C,M,C,F,I,F,I,F
H,L,M,C,B,C,C,I,M,M,C,O,E,F,B,L
K,C,I,B,D,M,M,E,M,A,C,F,E,F,D,F
B,L,C,F,M,F,H,K,I,F,B,F,H,C,M,N
C,L,M,B,B,M,I,I,K,F,B,P,M,I,D,L
H,L,H,M,I,B,N,K,B,L,N,M,I,P,D,F
B,P,H,F,I,F,M,K,C,J,H,L,D,M,D,M
C,O,H,C,I,M,I,I,H,M,K,M,I,C,H,F
H,F,M,C,C,F,F,C,C,L,H,B,H,F,B,L
K,I,B,H,D,F,F,B,K,C,A,F,I,P,E,F
I,P,B,M,D,M,J,E,C,M,N,F,E,F,E,F
I,K,B,B,K,H,P,B,C,N,L,H,D,P,I,C
I,M,B,H,I,L,F,H,F,H,H,H,E,M,F,F
I,B,B,I,D,B,N,K,M,N,P,H,D,N,K,H
I,B,H,I,K,F,F,I,H,P,B,C,H,L,D,C
H,F,F,C,I,L,F,H,K,M,F,F,L,L,E,F
B,M,C,C,H,F,C,K,I,F,B,F,B,C,M,N
H,L,M,M,C,M,F,H,M,M,H,C,I,M,H,F
H,L,F,C,B,P,C,K,F,P,K,M,I,F,I,L
K,B,B,I,K,F,M,I,H,P,B,M,K,M,I,P
M,L,M,M,I,I,F,B,L,P,P,A,D,M,I,M
K,H,I,M,H,F,C,H,D,M,C,M,C,F,H,L
I,F,B,H,D,M,M,B,B,M,C,F,I,F,B,F
K,D,I,K,K,M,M,H,H,C,C,L,K,L,B,L
H,P,C,M,B,C,F,C,H,M,M,L,C,F,K,C
I,F,H,C,H,L,M,B,H,P,H,M,K,F,H,L
K,D,K,D,D,F,M,C,H,M,C,F,K,F,I,F
I,L,H,M,D,M,F,B,K,M,J,F,I,L,E,F
M,F,F,C,I,K,P,C,M,O,O,L,I,L,D,M
I,I,I,B,D,D,J,H,I,O,P,H,E,F,K,C
K,I,I,K,D,H,N,I,C,N,L,H,D,N,D,H
M,L,M,P,M,M,L,H,I,M,P,N,I,F,M,M
K,K,I,I,K,C,L,H,B,L,M,B,D,P,I,M
D,E,K,D,D,F,M,C,H,C,H,L,D,M,H,P
I,C,B,B,K,B,I,M,C,D,K,B,D,C,D,C
K,M,I,H,D,M,M,I,A,L,C,F,E,F,F,F
I,L,B,M,I,M,M,E,C,A,C,F,E,F,D,F
P,A,F,M,B,F,P,H,C,C,P,H,H,O,B,M
H,L,B,B,K,L,M,H,B,L,B,F,B,L,H,L
F,L,L,M,C,B,M,H,F,L,M,L,C,F,B,I
I,B,B,I,I,C,M,C,C,M,C,H,K,F,I,M
I,I,B,K,K,C,N,I,M,N,L,H,D,N,I,B
C,L,L,C,H,H,F,D,F,P,P,L,I,F,I,C
M,L,H,A,H,M,F,H,I,N,M,M,I,L,N,C
K,B,K,I,K,M,M,H,C,M,C,F,K,F,H,N
K,C,I,B,D,B,A,F,K,N,C,I,D,P,I,F
B,H,F,B,B,L,C,I,H,L,H,M,F,M,K,F
H,L,M,C,B,B,F,M,L,L,P,N,I,L,D,M
I,K,B,B,K,H,P,B,B,P,F,B,D,P,I,C
I,B,B,I,K,M,M,I,L,C,C,P,K,F,C,M
K,C,B,B,I,L,M,I,I,F,H,C,B,F,C,H
C,P,L,F,C,H,P,K,B,L,L,F,M,M,K,M
F,N,N,F,M,O,H,I,C,P,K,C,P,L,K,L
B,F,C,C,C,C,M,C,B,F,C,F,H,F,C,P
F,F,F,C,H,I,P,I,B,N,P,F,F,P,K,C
H,L,C,F,I,L,C,L,F,M,B,L,I,F,B,F
B,C,H,B,B,C,M,C,B,M,C,F,K,L,M,P
H,F,M,C,M,M,M,C,H,C,M,M,L,F,I,C
M,P,M,M,H,H,M,M,C,L,F,P,K,L,H,L
M,A,M,M,C,H,L,I,H,M,B,L,C,M,C,C
D,E,D,E,E,M,M,I,H,M,C,F,K,F,B,M
H,M,M,H,B,M,L,K,H,P,H,C,H,L,D,M
H,H,C,F,B,M,M,O,K,M,L,F,L,C,E,F
K,C,I,B,D,M,M,E,M,A,C,F,E,F,D,F
B,C,C,H,C,M,M,B,B,M,C,F,C,P,M,M
M,O,M,M,H,F,M,K,C,P,B,F,H,F,B,F
B,F,H,C,H,M,L,C,I,F,C,L,B,N,F,N
B,P,C,F,K,F,F,B,I,C,J,F,I,L,E,F
I,M,B,M,I,M,C,F,H,H,C,F,I,F,H,L
I,B,B,H,K,M,L,G,K,M,I,F,I,F,E,F
H,C,H,F,I,B,O,L,K,P,C,B,D,P,B,F
B,P,C,F,H,O,I,K,K,L,K,F,K,C,K,F
B,M,C,H,H,F,L,C,H,F,H,F,B,M,H,N
